Reference,Species,Average mass (kg),Location,sample size,estimated dead,estimated survived,survival est,SE,95% CI (lower),95% CI (upper),sex,age,Group,Method,survival estimate type,death type,notes
Johnstone (1998),Peregrine Falcon Falco peregrinus,1.1,"Rankin Inlet, NWT, Canada",88,26,62,0.701,0.032,,,female,adult,,3,apparent,indirect,
Craig et al. (2004),Peregrine Falcon Falco peregrinus,1.1,"Colorado, USA",147,65,82,0.8,0.054,,,,second year and over,,4,TRUE,direct,
Franke et al. (2011),Peregrine Falcon Falco peregrinus,1.1,"Nunavut, Canada",264,71,193,0.73,0.02,,,,adult,,3,apparent,indirect,
Faccio et al. (2013),Peregrine Falcon Falco peregrinus,1.1,"New England, USA",39,7,32,0.81,,,,,adult,,3,apparent,indirect,potentially >2 years old; CI: 0.74-0.87
Altwegg et al. (2014),Peregrine Falcon Falco peregrinus,1.1,"Cape Town, South Africa",149,22,127,0.852,,,,,adult,,6,TRUE,direct,
Smith et al. (2015),Peregrine Falcon Falco peregrinus,1.1,S.Scotland â€“ N. England,153,29,124,0.81,0.034,,,,adult,,4,TRUE,direct,
Varland et al. (2008),Peregrine Falcon Falco peregrinus,1.1,Washington Coast,80,32,48,0.597,0.054,,,,adult,,3,apparent,indirect,extrapolated from 3-month apparent survival
Altwegg et al. (2003),Common Barn Owl Tyto alba,0.47,Switzerland,334,94,240,0.72,0.044,,,,adult,,4,TRUE,direct,
Altwegg et al. (2006),Common Barn Owl Tyto alba,0.47,Switzerland,1610,692,918,0.57,0.028,,,,adult,,4,TRUE,direct,
Therrien et al. (2012),Snowy Owl Nyctea scandiaca,2,"Nunavut, Canada",12,2,10,0.923,0.057,,,,adult,,5,unknown true,indirect,based on 2 confirmed mortalities
Francis & Saurola (2002),Tawny Owl Strix aluco,1.1,Finland,1751,199,1552,0.711,0.024,,,,adult,,4,TRUE,direct,
Karell et al. (2009),Tawny Owl Strix aluco,1.1,Finland,41,11,30,0.73,0.05,,,,adult,"Experienced breeders, low prey",3,apparent,indirect,
Karell et al. (2009),Tawny Owl Strix aluco,1.1,Finland,57,13,44,0.78,0.07,,,,adult,"Experienced breeders, increasing prey",3,apparent,indirect,
Karell et al. (2009),Tawny Owl Strix aluco,1.1,Finland,77,22,55,0.71,0.06,,,,adult,"Experienced breeders, decreasing prey",3,apparent,indirect,
Karell et al. (2009),Tawny Owl Strix aluco,1.1,Finland,26,11,15,0.56,0.07,,,,adult,"First-time breeders, low prey",3,apparent,indirect,
Karell et al. (2009),Tawny Owl Strix aluco,1.1,Finland,70,32,38,0.55,0.06,,,,adult,"First-time breeders, increasing prey",3,apparent,indirect,
Karell et al. (2009),Tawny Owl Strix aluco,1.1,Finland,77,31,46,0.6,0.08,,,,adult,"First-time breeders, decreasing prey",3,apparent,indirect,
Millon et al. (2010),Tawny Owl Strix aluco,1.1,N. England,156,33,123,0.79,0.03,,,male,fourth year,,3,apparent,indirect,
Millon et al. (2010),Tawny Owl Strix aluco,1.1,N. England,156,23,133,0.85,0.03,,,female,third year,,3,apparent,indirect,
Pavon-Jordan et al. (2013),Tawny Owl Strix aluco,1.1,Finland,256,74,182,0.71,0.029,,,female,adult,,3,apparent,indirect,
Bond et al. (2002),Spotted Owl Strix occidentalis,0.5,Western USA,21,3,18,0.86,,0.71,1,,adult,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Cle Elum, Washington, USA",211,38,173,0.82,,,,both,adult,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Rainier, Washington, USA",153,37,116,0.76,,,,both,adult,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Olympic, Washington, USA",388,70,318,0.82,,,,both,adult,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Coast Ranges, Oregon, USA",649,86,563,0.86,,,,both,adult,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"H. J. Andrews, Oregon, USA",576,88,488,0.85,,,,both,adult,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Tyee, Oregon, USA",490,68,422,0.86,,,,both,adult,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Klamath, Oregon, USA",650,96,554,0.85,,,,both,adult,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"South Cascade, Oregon, USA",602,124,478,0.79,,,,both,adult,,3,apparent,indirect,
Forsman et al. (2011),Spotted Owl Strix occidentalis,0.5,"Northwest California, USA",474,85,389,0.82,,,,both,adult,,3,apparent,indirect,
