Order,Family,Scientific,English,Mass
Strigiformes,Strigidae,Glaucidium castaneum,Chestnut Owlet,100
Strigiformes,Strigidae,Glaucidium albertinum,Albertine Owlet,73
Strigiformes,Strigidae,Xenoglaux loweryi,Long-whiskered Owlet,48
Strigiformes,Strigidae,Micrathene whitneyi,Elf Owl,41
Strigiformes,Strigidae,Athene noctua,Little Owl,168.92
Strigiformes,Strigidae,Athene brama,Spotted Owlet,112
Strigiformes,Strigidae,Heteroglaux blewitti,Forest Owlet,241
Strigiformes,Strigidae,Athene cunicularia,Burrowing Owl,150.61
Strigiformes,Strigidae,Aegolius funereus,Boreal Owl,137.18
Strigiformes,Strigidae,Aegolius acadicus,Northern Saw-whet Owl,100.69
Strigiformes,Strigidae,Aegolius ridgwayi,Southern Saw-whet Owl,80
Strigiformes,Strigidae,Aegolius harrisii,Buff-fronted Owl,120
Strigiformes,Strigidae,Ninox rufa,Rufous Owl,931.67
Strigiformes,Strigidae,Ninox strenua,Powerful Owl,1345.97
Strigiformes,Strigidae,Ninox connivens,Barking Owl,577.99
Strigiformes,Strigidae,Ninox rudolfi,Sumba Boobook,348.96
Strigiformes,Strigidae,Ninox boobook,Southern Boobook,282.19
Strigiformes,Strigidae,Ninox novaeseelandiae,Southern Boobook,183.37
Strigiformes,Strigidae,Ninox scutulata,Brown Hawk-owl,191
Strigiformes,Strigidae,Ninox affinis,Andaman Hawk-owl,348.96
Strigiformes,Strigidae,Ninox superciliaris,White-browed Hawk-owl,231
Strigiformes,Strigidae,Ninox philippensis,Philippine Hawk-owl,127.89
Strigiformes,Strigidae,Ninox ochracea,Ochre-bellied Hawk-owl,348.96
Strigiformes,Strigidae,Ninox squamipila,Moluccan Hawk-owl,210
Strigiformes,Strigidae,Ninox natalis,Christmas Island Hawk-owl,184
Strigiformes,Strigidae,Ninox theomacha,Jungle Hawk-owl,125
Strigiformes,Strigidae,Ninox meeki,Manus Hawk-owl,209
Strigiformes,Strigidae,Ninox punctulata,Speckled Hawk-owl,151
Strigiformes,Strigidae,Ninox variegata,Bismarck Hawk-owl,348.96
Strigiformes,Strigidae,Ninox odiosa,Russet Hawk-owl,209
Strigiformes,Strigidae,Ninox jacquinoti,Solomons Hawk-owl,200.81
Strigiformes,Strigidae,Uroglaux dimorpha,Papuan Hawk-owl,281
Strigiformes,Strigidae,Pseudoscops grammicus,Jamaican Owl,335
Strigiformes,Strigidae,Asio stygius,Stygian Owl,565
Strigiformes,Strigidae,Asio otus,Long-eared Owl,296.57
Strigiformes,Strigidae,Asio abyssinicus,Abyssinian Owl,407
Strigiformes,Strigidae,Asio madagascariensis,Madagascar Owl,407
Strigiformes,Strigidae,Pseudoscops clamator,Striped Owl,443.28
Strigiformes,Strigidae,Asio flammeus,Short-eared Owl,322.61
Strigiformes,Strigidae,Asio capensis,Marsh Owl,334
Strigiformes,Strigidae,Nesasio solomonensis,Fearful Owl,1155
Cariamiformes,Cariamidae,Cariama cristata,Red-legged Seriema,1400
Cariamiformes,Cariamidae,Chunga burmeisteri,Black-legged Seriema,1298
Accipitriformes,Accipitridae,Pandion haliaetus,Osprey,1483.2
Accipitriformes,Accipitridae,Aviceda cuculoides,African Baza,277
Accipitriformes,Accipitridae,Aviceda madagascariensis,Madagascar Baza,292
Accipitriformes,Accipitridae,Aviceda jerdoni,Jerdon's Baza,363
Accipitriformes,Accipitridae,Aviceda subcristata,Pacific Baza,322.65
Accipitriformes,Accipitridae,Aviceda leuphotes,Black Baza,193.98
Accipitriformes,Accipitridae,Leptodon cayanensis,Grey-headed Kite,474
Accipitriformes,Accipitridae,Leptodon forbesi,White-collared Kite,577
Accipitriformes,Accipitridae,Chondrohierax uncinatus,Hook-billed Kite,286.07
Accipitriformes,Accipitridae,Henicopernis longicauda,Long-tailed Honey-buzzard,571.23
Accipitriformes,Accipitridae,Henicopernis infuscatus,Black Honey-buzzard,730
Accipitriformes,Accipitridae,Pernis apivorus,European Honey-buzzard,754.37
Accipitriformes,Accipitridae,Pernis ptilorhyncus,Oriental Honey-buzzard,1141.13
Accipitriformes,Accipitridae,Pernis celebensis,Barred Honey-buzzard,721.99
Accipitriformes,Accipitridae,Lophoictinia isura,Square-tailed Kite,579.37
Accipitriformes,Accipitridae,Hamirostra melanosternon,Black-breasted Buzzard,1196
Accipitriformes,Accipitridae,Elanoides forficatus,American Swallow-tailed Kite,416.24
Accipitriformes,Accipitridae,Macheiramphus alcinus,Bat Hawk,650
Accipitriformes,Accipitridae,Gampsonyx swainsonii,Pearl Kite,92.9
Accipitriformes,Accipitridae,Elanus caeruleus,Black-winged Kite,259.76
Accipitriformes,Accipitridae,Elanus axillaris,Black-shouldered Kite,270.1
Accipitriformes,Accipitridae,Elanus leucurus,White-tailed Kite,346
Accipitriformes,Accipitridae,Elanus scriptus,Letter-winged Kite,316
Accipitriformes,Accipitridae,Chelictinia riocourii,African Swallow-tailed Kite,110
Accipitriformes,Accipitridae,Rostrhamus sociabilis,Snail Kite,366.94
Accipitriformes,Accipitridae,Helicolestes hamatus,Slender-billed Kite,425.46
Accipitriformes,Accipitridae,Harpagus bidentatus,Double-toothed Kite,215.25
Accipitriformes,Accipitridae,Harpagus diodon,Rufous-thighed Kite,200
Accipitriformes,Accipitridae,Ictinia mississippiensis,Mississippi Kite,276.03
